order_id,customer_id,product_id,order_date,quantity,unit_price,unit_cost,category,region,revenue,total_cost,profit,profit_margin_pct
ORD000006,CUST03445,PROD0434,2025-07-28,3,1423,848,Electronics,North,4269,2544,1725,40.41
ORD000007,CUST03172,PROD0199,2025-01-23,5,937,700,Beauty,South,4685,3500,1185,25.29
ORD000008,CUST02920,PROD0241,2025-11-03,5,4830,2691,Sports,East,24150,13455,10695,44.29
ORD000009,CUST00131,PROD0232,2025-08-14,2,1814,917,Electronics,South,3628,1834,1794,49.45
ORD000010,CUST01686,PROD0211,2025-12-07,3,2734,1994,Electronics,East,8202,5982,2220,27.07
ORD000011,CUST00770,PROD0368,2025-01-05,5,471,375,Home,South,2355,1875,480,20.38
ORD000012,CUST02392,PROD0430,2025-11-02,5,3289,2693,Home,West,16445,13465,2980,18.12
ORD000013,CUST02434,PROD0052,2025-09-13,2,3091,2017,Fashion,South,6182,4034,2148,34.75
ORD000014,CUST01185,PROD0119,2025-06-21,5,349,276,Home,East,1745,1380,365,20.92
ORD000015,CUST04556,PROD0330,2025-01-15,4,2656,1373,Home,South,10624,5492,5132,48.31
ORD000016,CUST03386,PROD0215,2025-04-20,4,1918,1091,Home,South,7672,4364,3308,43.12
ORD000017,CUST04118,PROD0322,2025-01-02,1,3611,2254,Beauty,North,3611,2254,1357,37.58
ORD000018,CUST04844,PROD0149,2025-07-01,1,4896,2961,Sports,North,4896,2961,1935,39.52
ORD000019,CUST02905,PROD0408,2025-09-23,3,4696,2361,Sports,West,14088,7083,7005,49.72
ORD000020,CUST00475,PROD0176,2025-07-31,1,4900,2679,Sports,North,4900,2679,2221,45.33
ORD000021,CUST01083,PROD0377,2025-10-18,5,1072,842,Sports,North,5360,4210,1150,21.46
ORD000022,CUST02559,PROD0269,2025-02-10,5,1517,883,Electronics,East,7585,4415,3170,41.79
ORD000023,CUST02048,PROD0320,2025-10-30,3,550,355,Fashion,East,1650,1065,585,35.45
ORD000024,CUST02748,PROD0005,2025-05-06,1,408,337,Fashion,South,408,337,71,17.4
ORD000025,CUST00976,PROD0402,2025-09-03,1,2529,1315,Beauty,North,2529,1315,1214,48.0
ORD000026,CUST01807,PROD0116,2025-12-07,5,3430,2531,Sports,West,17150,12655,4495,26.21
ORD000027,CUST00190,PROD0203,2025-09-10,4,2693,1499,Fashion,North,10772,5996,4776,44.34
ORD000028,CUST02735,PROD0037,2025-05-02,1,615,332,Fashion,South,615,332,283,46.02
ORD000029,CUST03006,PROD0054,2025-12-21,2,1544,1029,Beauty,North,3088,2058,1030,33.35
ORD000030,CUST04659,PROD0288,2025-01-26,5,4195,3430,Sports,West,20975,17150,3825,18.24
ORD000031,CUST01900,PROD0284,2025-01-20,3,4327,2912,Home,West,12981,8736,4245,32.7
ORD000032,CUST01268,PROD0086,2025-10-19,1,4028,2693,Electronics,West,4028,2693,1335,33.14
ORD000033,CUST01529,PROD0045,2025-11-16,4,2689,1519,Sports,South,10756,6076,4680,43.51
ORD000034,CUST03203,PROD0284,2025-02-12,5,1737,1471,Beauty,West,8685,7355,1330,15.31
ORD000035,CUST03557,PROD0321,2025-06-17,1,4604,3253,Electronics,South,4604,3253,1351,29.34
ORD000036,CUST03891,PROD0070,2025-01-18,4,1741,1434,Electronics,West,6964,5736,1228,17.63
ORD000037,CUST00647,PROD0459,2025-07-24,4,3230,2057,Fashion,South,12920,8228,4692,36.32
ORD000038,CUST02889,PROD0042,2025-03-20,5,1151,769,Fashion,North,5755,3845,1910,33.19
ORD000039,CUST02436,PROD0417,2025-01-16,1,2378,1704,Home,North,2378,1704,674,28.34
ORD000040,CUST00601,PROD0272,2025-09-16,3,4860,3363,Electronics,South,14580,10089,4491,30.8
ORD000041,CUST02364,PROD0141,2025-11-21,1,4708,3109,Beauty,East,4708,3109,1599,33.96
ORD000042,CUST02062,PROD0405,2025-04-13,2,4810,3538,Fashion,South,9620,7076,2544,26.44
ORD000043,CUST00242,PROD0059,2025-04-07,3,2838,2297,Home,North,8514,6891,1623,19.06
ORD000044,CUST02042,PROD0240,2025-04-12,5,3811,2404,Beauty,North,19055,12020,7035,36.92
ORD000045,CUST02825,PROD0047,2025-01-04,2,743,606,Fashion,South,1486,1212,274,18.44
ORD000046,CUST02613,PROD0167,2025-06-20,2,3151,2445,Home,East,6302,4890,1412,22.41
ORD000047,CUST01364,PROD0110,2025-04-12,1,1266,835,Sports,North,1266,835,431,34.04
ORD000048,CUST01479,PROD0126,2025-11-04,4,4792,3035,Electronics,East,19168,12140,7028,36.67
ORD000049,CUST02557,PROD0472,2025-09-05,2,1367,1029,Home,East,2734,2058,676,24.73
ORD000050,CUST00776,PROD0299,2025-11-04,5,3401,2265,Fashion,North,17005,11325,5680,33.4
ORD000051,CUST04015,PROD0411,2025-04-27,5,3161,2556,Electronics,North,15805,12780,3025,19.14
ORD000052,CUST00035,PROD0109,2025-11-18,4,4733,3808,Home,East,18932,15232,3700,19.54
ORD000053,CUST03153,PROD0165,2025-03-24,2,4382,2479,Beauty,East,8764,4958,3806,43.43
ORD000054,CUST01956,PROD0370,2025-03-04,4,380,315,Home,West,1520,1260,260,17.11
ORD000055,CUST01586,PROD0259,2025-06-28,2,2954,1901,Beauty,West,5908,3802,2106,35.65
ORD000056,CUST03944,PROD0076,2025-07-11,1,1243,901,Beauty,West,1243,901,342,27.51
ORD000057,CUST03074,PROD0007,2025-07-29,5,2705,1954,Home,West,13525,9770,3755,27.76
ORD000058,CUST01022,PROD0186,2025-05-04,4,4671,2989,Beauty,South,18684,11956,6728,36.01
ORD000059,CUST03462,PROD0276,2025-01-11,2,767,481,Home,North,1534,962,572,37.29
ORD000060,CUST02614,PROD0079,2025-06-12,2,4405,3464,Home,North,8810,6928,1882,21.36
ORD000061,CUST03844,PROD0065,2025-03-07,3,2400,1337,Sports,South,7200,4011,3189,44.29
ORD000062,CUST01501,PROD0115,2025-02-02,3,4091,2621,Sports,East,12273,7863,4410,35.93
ORD000063,CUST04799,PROD0202,2025-03-18,3,4943,2500,Sports,South,14829,7500,7329,49.42
ORD000064,CUST00162,PROD0142,2025-06-04,3,1124,631,Electronics,North,3372,1893,1479,43.86
ORD000065,CUST04298,PROD0463,2025-12-28,3,1361,849,Fashion,West,4083,2547,1536,37.62
ORD000066,CUST01982,PROD0098,2025-08-09,3,1591,1012,Beauty,South,4773,3036,1737,36.39
ORD000067,CUST00996,PROD0305,2025-06-22,5,3327,1718,Electronics,East,16635,8590,8045,48.36
ORD000068,CUST04912,PROD0217,2025-12-26,2,3278,2043,Beauty,North,6556,4086,2470,37.68
ORD000069,CUST03343,PROD0479,2025-03-27,5,2363,1570,Home,North,11815,7850,3965,33.56
ORD000070,CUST04552,PROD0074,2025-12-25,2,290,178,Fashion,East,580,356,224,38.62
ORD000071,CUST03799,PROD0293,2025-03-25,3,4939,4137,Home,East,14817,12411,2406,16.24
ORD000072,CUST01276,PROD0134,2025-10-27,1,1959,1191,Electronics,North,1959,1191,768,39.2
