customer_id,total_orders,total_revenue,total_profit
CUST00001,11,88721,24068
CUST00002,7,52195,17422
CUST00003,8,33860,11996
CUST00004,12,60705,17083
CUST00005,5,30955,7982
CUST00006,9,83998,28792
CUST00007,9,62684,21832
CUST00008,14,118144,35304
CUST00009,6,59929,21398
CUST00010,11,99774,32799
CUST00011,11,80851,28214
CUST00012,17,107011,32446
CUST00013,10,91921,26469
CUST00014,9,52427,14693
CUST00015,6,27256,7906
CUST00016,13,123422,42492
CUST00017,14,103083,27698
CUST00018,9,74937,26948
CUST00019,16,111998,36907
CUST00020,6,48877,16469
CUST00021,11,73068,23536
CUST00022,9,94117,32742
CUST00023,10,61454,21985
CUST00024,12,109506,38766
CUST00025,8,44326,13083
CUST00026,11,126209,42360
CUST00027,11,94537,35861
CUST00028,23,149086,53960
CUST00029,9,61722,19329
CUST00030,12,115330,34288
CUST00031,7,63928,21444
CUST00032,9,52571,19415
CUST00033,7,44789,15330
CUST00034,6,42171,15372
CUST00035,9,61936,19748
CUST00036,5,31436,8990
CUST00037,7,28911,9641
CUST00038,7,49977,15590
CUST00039,9,82070,27277
CUST00040,4,26940,6036
CUST00041,9,98723,27992
CUST00042,7,44238,14000
CUST00043,9,47629,13721
CUST00044,9,75985,26160
CUST00045,10,66099,23100
CUST00046,6,45476,13685
CUST00047,5,47609,20093
CUST00048,8,83786,30332
CUST00049,10,80730,29341
CUST00050,5,29212,7868
CUST00051,12,106715,39801
CUST00052,12,105335,35384
CUST00053,7,46985,16309
CUST00054,7,75571,24605
CUST00055,10,106338,36917
CUST00056,8,83052,29004
CUST00057,9,78662,30078
CUST00058,6,32602,8732
CUST00059,17,109795,31762
CUST00060,8,49978,14170
CUST00061,10,90584,26217
CUST00062,10,60115,17090
CUST00063,10,71231,25802
CUST00064,10,93196,30363
CUST00065,9,56245,18324
CUST00066,14,133172,41134
CUST00067,14,116871,37638
CUST00068,11,68166,19612
CUST00069,11,91258,32722
CUST00070,12,135797,39604
CUST00071,11,65678,18756
CUST00072,17,161403,62131
CUST00073,14,147715,46926
CUST00074,10,109705,35632
CUST00075,6,53876,15462
CUST00076,7,61788,23435
CUST00077,13,100999,29839
CUST00078,6,49440,18756
CUST00079,9,75788,20587
CUST00080,8,78326,20433
CUST00081,9,71995,26596
CUST00082,15,127820,39495
CUST00083,11,119401,34932
CUST00084,8,51480,16405
CUST00085,14,141894,37313
CUST00086,11,109888,39887
CUST00087,5,12345,3063
CUST00088,7,63396,23972
CUST00089,8,96408,39704
CUST00090,12,100340,36614
CUST00091,7,32056,9705
CUST00092,17,174315,54247
CUST00093,10,69899,21107
CUST00094,6,70899,23067
CUST00095,5,43908,15737
CUST00096,9,78568,26314
CUST00097,8,52566,13941
CUST00098,10,36979,9482
CUST00099,11,62160,24804
CUST00100,9,97426,25335
CUST00101,11,134370,45187
CUST00102,8,39130,14003
CUST00103,13,124728,36015
CUST00104,6,67245,23255
CUST00105,12,53858,18579
CUST00106,13,83418,25237
CUST00107,17,125262,42351
CUST00108,11,75349,27129
CUST00109,5,34787,13828
CUST00110,14,131317,43637
CUST00111,16,156938,62488
CUST00112,15,113306,32415
CUST00113,8,62499,21544
CUST00114,9,59067,17141
CUST00115,10,58693,18991
CUST00116,9,56456,16623
CUST00117,13,112567,36916
CUST00118,7,31583,10463
CUST00119,13,103704,29892
CUST00120,5,22116,6175
CUST00121,15,127902,40407
CUST00122,11,95384,29194
CUST00123,7,60173,17627
CUST00124,8,23349,8089
CUST00125,8,51950,17039
CUST00126,12,76657,24213
CUST00127,9,53483,16783
CUST00128,9,67016,21427
CUST00129,10,71779,19960
CUST00130,11,75134,24217
CUST00131,8,37483,14296
CUST00132,13,88846,31262
CUST00133,8,70300,22441
CUST00134,14,107862,32469
CUST00135,7,45774,15789
CUST00136,11,63196,17580
CUST00137,9,90554,31484
CUST00138,7,72274,23880
CUST00139,17,116877,35653
CUST00140,9,70951,20473
CUST00141,9,94816,32461
CUST00142,11,84114,24817
CUST00143,12,62813,23862
