product_id,units_sold,total_revenue,total_profit,profit_margin_pct
PROD0001,271,839376,268948,32.04
PROD0002,357,934693,312476,33.43
PROD0003,320,836538,279144,33.37
PROD0004,349,934155,318991,34.15
PROD0005,353,980889,308903,31.49
PROD0006,283,708852,225520,31.81
PROD0007,334,820521,250285,30.5
PROD0008,258,659908,198253,30.04
PROD0009,335,810403,272363,33.61
PROD0010,344,865609,289028,33.39
PROD0011,315,848917,264677,31.18
PROD0012,311,796724,259666,32.59
PROD0013,290,814917,258444,31.71
PROD0014,269,682046,213746,31.34
PROD0015,314,773158,246671,31.9
PROD0016,251,636806,191600,30.09
PROD0017,298,721931,227609,31.53
PROD0018,359,875296,300189,34.3
PROD0019,249,638014,207679,32.55
PROD0020,275,619517,212877,34.36
PROD0021,287,742355,247021,33.28
PROD0022,282,794514,264522,33.29
PROD0023,317,871666,282507,32.41
PROD0024,255,687803,218040,31.7
PROD0025,308,806340,261641,32.45
PROD0026,289,816407,279802,34.27
PROD0027,286,771501,249128,32.29
PROD0028,294,744953,225152,30.22
PROD0029,282,735667,246056,33.45
PROD0030,401,1046022,369243,35.3
PROD0031,237,610213,191271,31.34
PROD0032,322,836433,266507,31.86
PROD0033,246,531146,164129,30.9
PROD0034,253,620461,184571,29.75
PROD0035,300,804056,245651,30.55
PROD0036,351,911973,290840,31.89
PROD0037,332,810625,264895,32.68
PROD0038,282,748374,259639,34.69
PROD0039,246,649995,219575,33.78
PROD0040,313,865090,281984,32.6
PROD0041,281,749919,240166,32.03
PROD0042,272,687630,221225,32.17
PROD0043,342,902791,296065,32.79
PROD0044,322,848246,310856,36.65
PROD0045,291,764338,253977,33.23
PROD0046,312,892934,299177,33.5
PROD0047,261,672824,213223,31.69
PROD0048,307,807720,264914,32.8
PROD0049,324,805163,257234,31.95
PROD0050,290,715968,250389,34.97
PROD0051,245,654220,207258,31.68
PROD0052,317,749019,227326,30.35
PROD0053,280,777513,258182,33.21
PROD0054,280,750880,237729,31.66
PROD0055,299,836870,266708,31.87
PROD0056,298,778913,257301,33.03
PROD0057,314,767819,260894,33.98
PROD0058,313,813153,268772,33.05
PROD0059,306,792459,274447,34.63
PROD0060,267,635488,216220,34.02
PROD0061,328,870509,299813,34.44
PROD0062,279,745536,230190,30.88
PROD0063,312,783171,262490,33.52
PROD0064,304,709071,232186,32.75
PROD0065,357,924141,295768,32.0
PROD0066,251,734661,250346,34.08
PROD0067,293,776876,254702,32.79
PROD0068,258,667537,212263,31.8
PROD0069,357,934773,312467,33.43
PROD0070,288,702590,229032,32.6
PROD0071,295,727169,256378,35.26
PROD0072,255,620260,192207,30.99
PROD0073,284,780254,253286,32.46
PROD0074,285,719042,232878,32.39
PROD0075,279,667760,210943,31.59
PROD0076,333,851746,271276,31.85
PROD0077,305,838557,281311,33.55
PROD0078,258,635659,205543,32.34
PROD0079,271,610238,186070,30.49
PROD0080,302,766602,244220,31.86
PROD0081,269,623638,196162,31.45
PROD0082,364,965422,309601,32.07
PROD0083,356,956492,302283,31.6
PROD0084,328,839469,274195,32.66
PROD0085,319,818534,249288,30.46
PROD0086,270,706779,224876,31.82
PROD0087,270,715282,254368,35.56
PROD0088,310,801648,256379,31.98
PROD0089,307,775925,239392,30.85
PROD0090,371,1012914,328975,32.48
PROD0091,325,847061,274846,32.45
PROD0092,311,763912,247760,32.43
PROD0093,297,761946,245708,32.25
PROD0094,336,843707,277488,32.89
PROD0095,334,788811,245976,31.18
PROD0096,288,753586,240333,31.89
PROD0097,333,703583,214465,30.48
PROD0098,322,800686,245502,30.66
PROD0099,266,692368,225319,32.54
PROD0100,313,786367,255120,32.44
PROD0101,335,828087,274307,33.13
PROD0102,338,853106,269678,31.61
PROD0103,256,641936,207506,32.33
