order_id,customer_id,product_id,order_date,quantity,unit_price,unit_cost,category,region
ORD000001,CUST00861,PROD0326,2025-01-11,0,4001,2689,Electronics,North
ORD000002,CUST03773,PROD0357,2025-11-22,4,0,782,Sports,North
ORD000003,CUST03093,PROD0365,2025-11-19,3,4720,-100,Home,West
ORD000004,,PROD0406,2025-01-30,4,3112,2396,Sports,West
ORD000005,CUST04427,,2025-12-27,2,2243,1839,Beauty,East
ORD000006,CUST03445,PROD0434,2025-07-28,3,1423,848,Electronics,North
ORD000007,CUST03172,PROD0199,2025-01-23,5,937,700,Beauty,South
ORD000008,CUST02920,PROD0241,2025-11-03,5,4830,2691,Sports,East
ORD000009,CUST00131,PROD0232,2025-08-14,2,1814,917,Electronics,South
ORD000010,CUST01686,PROD0211,2025-12-07,3,2734,1994,Electronics,East
ORD000011,CUST00770,PROD0368,2025-01-05,5,471,375,Home,South
ORD000012,CUST02392,PROD0430,2025-11-02,5,3289,2693,Home,West
ORD000013,CUST02434,PROD0052,2025-09-13,2,3091,2017,Fashion,South
ORD000014,CUST01185,PROD0119,2025-06-21,5,349,276,Home,East
ORD000015,CUST04556,PROD0330,2025-01-15,4,2656,1373,Home,South
ORD000016,CUST03386,PROD0215,2025-04-20,4,1918,1091,Home,South
ORD000017,CUST04118,PROD0322,2025-01-02,1,3611,2254,Beauty,North
ORD000018,CUST04844,PROD0149,2025-07-01,1,4896,2961,Sports,North
ORD000019,CUST02905,PROD0408,2025-09-23,3,4696,2361,Sports,West
ORD000020,CUST00475,PROD0176,2025-07-31,1,4900,2679,Sports,North
ORD000021,CUST01083,PROD0377,2025-10-18,5,1072,842,Sports,North
ORD000022,CUST02559,PROD0269,2025-02-10,5,1517,883,Electronics,East
ORD000023,CUST02048,PROD0320,2025-10-30,3,550,355,Fashion,East
ORD000024,CUST02748,PROD0005,2025-05-06,1,408,337,Fashion,South
ORD000025,CUST00976,PROD0402,2025-09-03,1,2529,1315,Beauty,North
ORD000026,CUST01807,PROD0116,2025-12-07,5,3430,2531,Sports,West
ORD000027,CUST00190,PROD0203,2025-09-10,4,2693,1499,Fashion,North
ORD000028,CUST02735,PROD0037,2025-05-02,1,615,332,Fashion,South
ORD000029,CUST03006,PROD0054,2025-12-21,2,1544,1029,Beauty,North
ORD000030,CUST04659,PROD0288,2025-01-26,5,4195,3430,Sports,West
ORD000031,CUST01900,PROD0284,2025-01-20,3,4327,2912,Home,West
ORD000032,CUST01268,PROD0086,2025-10-19,1,4028,2693,Electronics,West
ORD000033,CUST01529,PROD0045,2025-11-16,4,2689,1519,Sports,South
ORD000034,CUST03203,PROD0284,2025-02-12,5,1737,1471,Beauty,West
ORD000035,CUST03557,PROD0321,2025-06-17,1,4604,3253,Electronics,South
ORD000036,CUST03891,PROD0070,2025-01-18,4,1741,1434,Electronics,West
ORD000037,CUST00647,PROD0459,2025-07-24,4,3230,2057,Fashion,South
ORD000038,CUST02889,PROD0042,2025-03-20,5,1151,769,Fashion,North
ORD000039,CUST02436,PROD0417,2025-01-16,1,2378,1704,Home,North
ORD000040,CUST00601,PROD0272,2025-09-16,3,4860,3363,Electronics,South
ORD000041,CUST02364,PROD0141,2025-11-21,1,4708,3109,Beauty,East
ORD000042,CUST02062,PROD0405,2025-04-13,2,4810,3538,Fashion,South
ORD000043,CUST00242,PROD0059,2025-04-07,3,2838,2297,Home,North
ORD000044,CUST02042,PROD0240,2025-04-12,5,3811,2404,Beauty,North
ORD000045,CUST02825,PROD0047,2025-01-04,2,743,606,Fashion,South
ORD000046,CUST02613,PROD0167,2025-06-20,2,3151,2445,Home,East
ORD000047,CUST01364,PROD0110,2025-04-12,1,1266,835,Sports,North
ORD000048,CUST01479,PROD0126,2025-11-04,4,4792,3035,Electronics,East
ORD000049,CUST02557,PROD0472,2025-09-05,2,1367,1029,Home,East
ORD000050,CUST00776,PROD0299,2025-11-04,5,3401,2265,Fashion,North
ORD000051,CUST04015,PROD0411,2025-04-27,5,3161,2556,Electronics,North
ORD000052,CUST00035,PROD0109,2025-11-18,4,4733,3808,Home,East
ORD000053,CUST03153,PROD0165,2025-03-24,2,4382,2479,Beauty,East
ORD000054,CUST01956,PROD0370,2025-03-04,4,380,315,Home,West
ORD000055,CUST01586,PROD0259,2025-06-28,2,2954,1901,Beauty,West
ORD000056,CUST03944,PROD0076,2025-07-11,1,1243,901,Beauty,West
ORD000057,CUST03074,PROD0007,2025-07-29,5,2705,1954,Home,West
ORD000058,CUST01022,PROD0186,2025-05-04,4,4671,2989,Beauty,South
ORD000059,CUST03462,PROD0276,2025-01-11,2,767,481,Home,North
ORD000060,CUST02614,PROD0079,2025-06-12,2,4405,3464,Home,North
ORD000061,CUST03844,PROD0065,2025-03-07,3,2400,1337,Sports,South
ORD000062,CUST01501,PROD0115,2025-02-02,3,4091,2621,Sports,East
ORD000063,CUST04799,PROD0202,2025-03-18,3,4943,2500,Sports,South
ORD000064,CUST00162,PROD0142,2025-06-04,3,1124,631,Electronics,North
ORD000065,CUST04298,PROD0463,2025-12-28,3,1361,849,Fashion,West
ORD000066,CUST01982,PROD0098,2025-08-09,3,1591,1012,Beauty,South
ORD000067,CUST00996,PROD0305,2025-06-22,5,3327,1718,Electronics,East
ORD000068,CUST04912,PROD0217,2025-12-26,2,3278,2043,Beauty,North
ORD000069,CUST03343,PROD0479,2025-03-27,5,2363,1570,Home,North
ORD000070,CUST04552,PROD0074,2025-12-25,2,290,178,Fashion,East
ORD000071,CUST03799,PROD0293,2025-03-25,3,4939,4137,Home,East
ORD000072,CUST01276,PROD0134,2025-10-27,1,1959,1191,Electronics,North
ORD000073,CUST01017,PROD0262,2025-10-23,4,2050,1654,Electronics,North
ORD000074,CUST00338,PROD0284,2025-02-14,4,1167,738,Beauty,South
ORD000075,CUST00879,PROD0102,2025-05-10,5,3059,1727,Home,West
ORD000076,CUST01077,PROD0377,2025-06-18,3,3552,2488,Sports,South
ORD000077,CUST04888,PROD0206,2025-01-17,5,1103,662,Sports,South
ORD000078,CUST03994,PROD0141,2025-02-19,4,2033,1472,Fashion,East
ORD000079,CUST04860,PROD0013,2025-06-18,3,2511,2115,Electronics,East
ORD000080,CUST00380,PROD0249,2025-12-12,4,4896,4018,Sports,South
ORD000081,CUST00493,PROD0123,2025-09-26,2,4380,2207,Beauty,South
ORD000082,CUST02063,PROD0010,2025-06-11,4,2238,1690,Fashion,South
ORD000083,CUST03885,PROD0080,2025-11-07,2,756,404,Sports,North
ORD000084,CUST00065,PROD0167,2025-12-16,1,1778,1150,Home,East
ORD000085,CUST02569,PROD0099,2025-01-02,3,1802,1110,Sports,North
ORD000086,CUST02028,PROD0207,2025-07-23,4,4611,3446,Beauty,West
ORD000087,CUST02696,PROD0151,2025-07-03,4,3052,2106,Sports,West
ORD000088,CUST01496,PROD0037,2025-12-08,4,4345,2821,Fashion,West
ORD000089,CUST00392,PROD0377,2025-12-24,4,4222,3423,Sports,West
ORD000090,CUST04515,PROD0264,2025-09-26,3,2279,1844,Electronics,South
ORD000091,CUST04475,PROD0474,2025-12-11,4,721,486,Beauty,East
ORD000092,CUST03562,PROD0444,2025-04-13,5,1949,1022,Electronics,West
ORD000093,CUST02279,PROD0342,2025-02-06,2,1474,812,Home,East
ORD000094,CUST03100,PROD0005,2025-01-21,2,1186,789,Electronics,South
ORD000095,CUST00201,PROD0378,2025-10-01,4,481,314,Home,West
ORD000096,CUST04876,PROD0226,2025-11-29,1,971,811,Electronics,East
ORD000097,CUST03105,PROD0027,2025-07-02,5,2612,1308,Fashion,South
ORD000098,CUST04599,PROD0124,2025-03-30,5,3449,2910,Fashion,West
ORD000099,CUST02455,PROD0403,2025-07-27,1,1439,797,Fashion,West
ORD000100,CUST03646,PROD0427,2025-04-19,2,1550,868,Home,North
ORD000101,CUST00805,PROD0299,2025-09-07,3,1596,1085,Sports,West
ORD000102,CUST02732,PROD0035,2025-03-04,4,2811,1685,Home,South
ORD000103,CUST02774,PROD0237,2025-08-09,2,3135,1797,Fashion,South
ORD000104,CUST01571,PROD0468,2025-07-07,3,3814,2844,Beauty,North
ORD000105,CUST02691,PROD0499,2025-06-23,2,3136,2034,Fashion,South
ORD000106,CUST03841,PROD0311,2025-01-16,1,4075,2789,Electronics,North
ORD000107,CUST01029,PROD0317,2025-08-02,1,2275,1241,Electronics,West
ORD000108,CUST00503,PROD0303,2025-06-21,2,2492,1366,Electronics,West
ORD000109,CUST04494,PROD0102,2025-05-20,2,4375,2852,Fashion,West
ORD000110,CUST00871,PROD0077,2025-08-23,3,4736,3972,Sports,West
ORD000111,CUST04489,PROD0312,2025-11-16,4,2669,1429,Electronics,West
ORD000112,CUST00207,PROD0082,2025-06-05,5,1771,939,Beauty,South
ORD000113,CUST01485,PROD0146,2025-10-11,4,1089,565,Fashion,North
ORD000114,CUST00864,PROD0193,2025-03-28,3,4122,2095,Home,East
ORD000115,CUST02791,PROD0224,2025-04-13,3,664,547,Home,West
ORD000116,CUST00564,PROD0053,2025-04-04,2,4028,2019,Home,West
ORD000117,CUST04192,PROD0345,2025-12-22,1,2089,1318,Home,North
ORD000118,CUST01758,PROD0085,2025-09-07,5,1587,1165,Fashion,North
ORD000119,CUST01679,PROD0475,2025-06-08,4,394,327,Electronics,South
ORD000120,CUST03243,PROD0395,2025-03-04,5,3617,2292,Fashion,West
ORD000121,CUST04637,PROD0368,2025-03-17,4,3781,2355,Beauty,East
ORD000122,CUST01060,PROD0129,2025-12-29,4,3902,2820,Beauty,East
ORD000123,CUST01723,PROD0211,2025-12-11,1,1430,938,Home,East
ORD000124,CUST03315,PROD0352,2025-12-30,5,4914,3393,Fashion,West
ORD000125,CUST03158,PROD0264,2025-10-03,1,4327,3660,Home,East
ORD000126,CUST02626,PROD0403,2025-01-24,3,1657,1070,Beauty,East
ORD000127,CUST02730,PROD0183,2025-12-04,2,4440,2436,Electronics,East
ORD000128,CUST01598,PROD0272,2025-10-21,2,4727,3816,Fashion,East
ORD000129,CUST03061,PROD0227,2025-11-25,2,2655,1895,Home,West
ORD000130,CUST02694,PROD0322,2025-11-21,3,1224,713,Home,South
ORD000131,CUST04892,PROD0012,2025-02-14,2,3011,2237,Electronics,West
ORD000132,CUST03628,PROD0093,2025-11-29,3,1593,814,Fashion,South
ORD000133,CUST01364,PROD0330,2025-11-25,2,515,259,Sports,West
ORD000134,CUST01982,PROD0190,2025-07-13,4,1217,856,Sports,South
ORD000135,CUST01664,PROD0086,2025-09-21,1,1382,1061,Sports,South
ORD000136,CUST01530,PROD0354,2025-02-03,3,3610,1949,Home,South
ORD000137,CUST02039,PROD0442,2025-05-18,3,3419,2840,Home,South
ORD000138,CUST03303,PROD0277,2025-12-31,1,4261,2903,Fashion,South
ORD000139,CUST02238,PROD0293,2025-06-12,4,1266,779,Fashion,East
ORD000140,CUST01307,PROD0261,2025-12-27,1,1709,967,Fashion,North
ORD000141,CUST04030,PROD0198,2025-02-24,3,1046,682,Sports,West
ORD000142,CUST02676,PROD0416,2025-01-26,2,1115,770,Beauty,West
ORD000143,CUST01283,PROD0323,2025-03-09,2,1800,1036,Electronics,North
ORD000144,CUST00710,PROD0010,2025-12-17,4,4138,2879,Electronics,West
ORD000145,CUST04745,PROD0453,2025-05-13,3,4551,2875,Sports,North
ORD000146,CUST04414,PROD0088,2025-03-28,3,761,387,Beauty,West
